,Variable,(1) Simple,(2) Factorial,(3) +Controls
0,Intercept,+596.60$^{***}$,+596.60$^{***}$,+671.76$^{***}$
1,,(42.36),(42.61),(151.24)
2,Treatment (any of 3 cells),-11.31,,-18.94
3,,(50.53),,(55.09)
4,Hyped headline (vs neutral),,-2.40,
5,,,(63.58),
6,Social proof: yes (vs no),,-31.72,
7,,,(63.29),
8,Hyped × Social proof,,+34.30,
9,,,(93.35),
10,Age,,,-2.44
11,,,,(6.29)
12,Prior investor (yes),,,+11.61
13,,,,(52.89)
14,Gender: woman,,,-66.84
15,,,,(52.85)
16,Gender: NB / other,,,+49.02
17,,,,(142.05)
18,Major: STEM,,,+10.41
19,,,,(86.62)
20,Observations,172,172,164
21,$R^2$,0.0003,0.0020,0.0139
22,Robust SE,HC1,HC1,HC1
